,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
379,Saloon,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,60,Przygodowy,śr. zaawansowani,20 ,381,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,7.4,8.7,7.4,Średni,2,6
380,Misja A.V.A.T.A.R,Kraków,Locked UP,60,Przygodowy,śr. zaawansowani,8 ,382,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,7.7,9.3,6.8,Średni,2,5
381,Rytuał,Kielce,Unlock the door,50,Thriller,początkujący,2 ,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,10.0,Średni,2,4
382,Poza Światem,Warszawa,Dom Zagadek,60,Przygodowy,śr. zaawansowani,34 ,384,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,6.9,8.6,7.7,Średni,2,6
383,Czarna Perła,Gorzów Wielkopolski,Open The Lock,60,Przygodowy,na pierwszy raz,21 ,385,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,6.9,4.9,7.6,Średni,2,5
384,P@ssWord,Warszawa,Dom Zagadek,60,Abstrakcyjny,początkujący,16 ,386,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.1,9.2,7.7,Średni,2,6
385,Klątwa Tutenchamona,Warszawa,Zagadkownia,60,Przygodowy,doświadczony,192 ,387,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,7.0,9.2,7.5,Trudny,2,6
386,Gra Miejska - Illuminati,Poznań,Escapelandia,180,Fabularny,początkujący,6 ,388,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,8.0,10.0,8.7,Średni,2,6
387,Ostatnia cela,Słupsk,TrapRooms,60,Kryminalny,śr. zaawansowani,39 ,389,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,7.4,9.3,7.5,Średni,2,8
388,Guantanamo,Gorzów Wielkopolski,Open The Lock,60,Kryminalny,doświadczony,18 ,390,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7.2,5.9,7.6,Średni,2,5
389,Agent FBI,Warszawa,SHOW ESCAPE,60,Kryminalny,doświadczony,7 ,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,10.0,6.7,Bardzo trudny,2,4
390,Piaski Pustyni,Konin,Next Level,60,Przygodowy,śr. zaawansowani,3 ,393,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,8.6,9.9,9.4,Średni,2,4
391,Leśne Trolle,Szczecin,Warsztatownia,60,Przygodowy,początkujący,8 ,392,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,9.2,6.6,10.0,Łatwy,2,6
392,Przygody Indiana Jones,Warszawa,Team Exit - Pokoje zagadek -Escape Room 24,60,Przygodowy,śr. zaawansowani,7 ,395,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.8,9.4,7.0,Trudny,3,7
393,Skarby Majów,Poznań,Key To Be Free,60,Przygodowy,początkujący,106 ,394,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,6.7,9.7,6.4,Średni,2,8
394,Opuszczona Piwnica,Gorzów Wielkopolski,Open The Lock,60,Thriller,śr. zaawansowani,14 ,396,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,7.7,5.7,7.6,Średni,2,4
395,Kryptonim Dżungla,Opole,Escape Room Chata Zagadek,60,Przygodowy,na pierwszy raz,7 ,397,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,7.3,9.5,8.4,Średni,2,5
396,Zielona Mila,Warszawa,SHOW ESCAPE,60,Przygodowy,doświadczony,9 ,398,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,7.7,9.6,9.0,Średni,2,12
397,Redrum,Żory,Open The Lock,60,Horror,śr. zaawansowani,29 ,399,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,6.3,6.0,7.5,Trudny,2,5
