,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy
160,W gąszczu tajemnic,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,121 opinii,Polska: 161. miejsce,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8.6,9.8,9,Trudny
161,Magia i Miecz,Białystok,Unlocked - Escape Room,2-5 osób,60 minut,Fantasy,doświadczony,9 opinii,Polska: 164. miejsce,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,9.5,9.9,9.5,Trudny
162,Cela nr 4,Warszawa,Wyjście Awaryjne,2-10 osób,60 minut,Kryminalny,śr. zaawansowani,285 opinii,Polska: 162. miejsce,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,9.1,9.4,9.4,Trudny
163,Protokół C.H.I.M.E.R.A.,Kraków,Gamescape Kraków,2-6 osób,65 minut,Akcja,śr. zaawansowani,48 opinii,Polska: 163. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,8.9,9.8,9.1,Średni
164,Ostatni Egzorcyzm,Gdynia,WALKOUT,2-6 osób,60 minut,Thriller,śr. zaawansowani,14 opinii,Polska: 166. miejsce,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,9.6,9.8,9.8,Trudny
165,The Moonshiner,Gdańsk,Zorkout Escape Rooms,2-6 osób,75 minut,Przygodowy,doświadczony,78 opinii,Polska: 165. miejsce,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,8.9,9.5,9.2,Trudny
166,Skazani na śmierć,Bydgoszcz,Fabryka Czasu,3-5 osób,60 minut,Thriller,śr. zaawansowani,137 opinii,Polska: 168. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.0,9.8,9.3,Średni
167,Cela śmierci,Wrocław,Trapped,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,109 opinii,Polska: 167. miejsce,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,8.7,9.8,8.9,Średni
168,Kryjówka Genialnego Wynalazcy,Chorzów,Strych,2-5 osób,60 minut,Fabularny,początkujący,166 opinii,Polska: 169. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,10,9.3,Średni
169,Krakowska Bestia,Kraków,Combinator Kraków,2-5 osób,60 minut,Historyczny,początkujący,439 opinii,Polska: 170. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,8.3,9,9.1,Średni
170,Rytuał - Historia prawdziwa,Sopot,Questrooms,2-5 osób,60 minut,Horror,śr. zaawansowani,211 opinii,Polska: 171. miejsce,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,9.2,9.9,9.5,Trudny
171,Midnight Killer MK II,Wrocław,Piwnica Quest,3-5 osób,70 minut,Thriller,doświadczony,192 opinie,Polska: 172. miejsce,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,9.0,9,9.6,Trudny
172,Statek Piratów,Kraków,Combinator Kraków,2-5 osób,60 minut,Przygodowy,doświadczony,389 opinii,Polska: 173. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,9.1,9.4,9.8,Trudny
173,Jaskinia Bazyliszka,Częstochowa,Dom Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,6 opinii,Polska: 174. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,9.5,10,9.7,Trudny
174,Sekret Profesora Lipnitzkiego,Kraków,Lock House,2-5 osób,60 minut,Thriller,śr. zaawansowani,329 opinii,Polska: 175. miejsce,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,9.3,9.9,9.8,Trudny
175,Wiedźmowa Księga,Poznań,Find a Way,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 176. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,8.8,9.1,9.2,Średni
176,Łódź Podwodna,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,119 opinii,Polska: 178. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,8.7,9.7,9.2,Trudny
177,Olimp,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,19 opinii,Polska: 177. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,8.7,9.9,9.2,Średni
178,Tajemnica Strychu,Bydgoszcz,Fabryka Czasu,2-5 osób,60 minut,Thriller,śr. zaawansowani,309 opinii,Polska: 179. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.1,9.9,9.6,Trudny
179,Stranger Room,Wrocław,In&Out,2-5 osób,70 minut,Przygodowy,doświadczony,88 opinii,Polska: 180. miejsce,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,9.0,9.8,9.4,Trudny
180,Krypta,Wrocław,Secret Room & Brain Code,2-6 osób,90 minut,Przygodowy,śr. zaawansowani,121 opinii,Polska: 181. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,8.7,10,9.4,Średni
181,Indiana Jones i Święty Graal,Bytom,Escape Graal,2-5 osób,60 minut,Przygodowy,początkujący,66 opinii,Polska: 182. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,9.0,10,9,Średni
182,Statek Piracki,Grudziądz,Find The Key,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,96 opinii,Polska: 184. miejsce,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,9.9,10,10,Średni
183,Operacja Byfyj,Rybnik,Open The Lock,2-5 osób,70 minut,Fabularny,doświadczony,50 opinii,Polska: 185. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,9.5,10,9.8,Trudny
184,Fabryka Czekolady,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,196 opinii,Polska: 186. miejsce,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,8.8,9.5,9.4,Średni
185,Sekretny Gabinet Zegarmistrza,Katowice,LOFTescape,2-3 osoby,60 minut,Fabularny,śr. zaawansowani,40 opinii,Polska: 187. miejsce,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,9.1,9.9,9.3,Trudny
186,Schron 2.0,Gdańsk,Podziemna pułapka,2-5 osób,60 minut,Fabularny,śr. zaawansowani,76 opinii,Polska: 188. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,8.5,9.7,8.6,Trudny
187,Pokój gangstera,Radomsko,Zagadkowo,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,19 opinii,Polska: 189. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,9.3,10,9.7,Trudny
188,Czarny Motylek,Wrocław,Fox O'clock,2-5 osób,60 minut,Thriller,śr. zaawansowani,324 opinie,Polska: 190. miejsce,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,8.4,9.7,9.2,Średni
189,Peron 9 i 3/4,Wrocław,Trap Jungle,2-4 osoby,90 minut,Fantasy,śr. zaawansowani,105 opinii,Polska: 191. miejsce,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,8.8,9.8,9.6,Trudny
190,Tajemnice Elfandiru,Legnica,LockER,2-5 osób,90 minut,Fantasy,śr. zaawansowani,25 opinii,Polska: 192. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,9.1,9.8,9.7,Trudny
191,Nemo,Poznań,EXODUS,2-5 osób,60 minut,Dla dzieci,początkujący,10 opinii,Polska: 193. miejsce,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,10,10,10,Łatwy
192,Wiedźma i Albercik,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Fantasy,początkujący,11 opinii,Polska: 194. miejsce,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,8.7,9.8,9.7,Łatwy
193,Klątwa Zbójów,Zakopane,LetMeOut,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,62 opinie,Polska: 195. miejsce,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,8.8,9.4,9.3,Średni
194,Sala Przesłuchań,Gdańsk,Escape Time,2-4 osoby,60 minut,Thriller,eksperci,82 opinie,Polska: 196. miejsce,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,8.9,9.5,9.4,Trudny
195,Tajemnica 61. Kilometra,Gdańsk,Zorkout Escape Rooms,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,65 opinii,Polska: 197. miejsce,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,8.5,8.9,9,Trudny
196,Legendy Camelotu,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 198. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,8.9,10,9.7,Trudny
197,Horror,Chorzów,ER 1871 Inny Wymiar,2-6 osób,70 minut,Horror,śr. zaawansowani,65 opinii,Polska: 199. miejsce,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,8.1,8.9,9,Średni
198,Gabinet Ignacego Łukasiewicza,Bielsko-Biała,Konsorcjum Czasu,1-4 osoby,60 minut,Historyczny,początkujący,31 opinii,Polska: 200. miejsce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,8.9,9.9,9.4,Łatwy
199,Opętanie,Toruń,Dom Kłódek,2-8 osób,75 minut,Thriller,doświadczony,57 opinii,Polska: 201. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,8.8,9.8,9,Trudny
200,Grobowiec Faraona,Lublin,LetMeOut,2-6 osób,60 minut,Przygodowy,doświadczony,8 opinii,Polska: 203. miejsce,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,9.2,9.4,9.8,Trudny
201,The Final Show,Gdańsk,Zorkout Escape Rooms,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,43 opinie,Polska: 202. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,8.9,9.4,9,Trudny
202,Tajemnica starej kamienicy,Warszawa,Escape Room Majdańska 18 Warszawa,2-3 osoby,60 minut,Przygodowy,śr. zaawansowani,42 opinie,Polska: 205. miejsce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,8.5,9.8,8.7,Średni
203,Misja na Wschodzie,Szczyrk,Chata Tajemnic,3-8 osób,80 minut,Przygodowy,doświadczony,7 opinii,Polska: 204. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,8.9,10,9.2,Trudny
204,Kraina Wiecznej Nocy,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Przygodowy,początkujący,52 opinie,Polska: 206. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,8.7,9.8,9.7,Średni
205,Cela nr 4,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Kryminalny,początkujący,318 opinii,Polska: 207. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,9.3,10,9.5,Średni
206,Pionek i Kostka,Warszawa,OtoPokojeZagadek,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,86 opinii,Polska: 208. miejsce,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,8.9,10,9.6,Trudny
207,Trójkąt Bermudzki,Toruń,Dom Kłódek,2-5 osób,60 minut,Przygodowy,początkujący,20 opinii,Polska: 209. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,8.6,9.7,9.2,Średni
208,Interactive 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,38 opinii,Polska: 210. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,8.6,9.4,8.7,Średni
209,Dżungla Azteków,Poznań,Malta Escape Room,2-5 osób,60 minut,Przygodowy,początkujący,41 opinii,Polska: 212. miejsce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,8.7,9.6,9.4,Średni
210,Plan na włam,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,228 opinii,Polska: 211. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,8.9,9.9,9,Średni
211,Nawiedzony Dwór,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Przygodowy,doświadczony,19 opinii,Polska: 213. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,8.9,9.7,9.4,Bardzo trudny
212,Plan A,Olsztyn,Profesor Escape Room Olsztyn,2-6 osób,60 minut,Fabularny,początkujący,16 opinii,Polska: 214. miejsce,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,8.7,9.7,8.5,Średni
213,Piwnica 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Kryminalny,śr. zaawansowani,25 opinii,Polska: 215. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,8.5,9.6,8.7,Trudny
214,PostApo: Schron,Chorzów,ER 1871 Inny Wymiar,2-6 osób,90 minut,Fabularny,śr. zaawansowani,36 opinii,Polska: 216. miejsce,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,8.4,9.4,8.7,Trudny
215,Misja Neffo,Łódź,Alfa Fun,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,12 opinii,Polska: 217. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,9.0,9.8,9.4,Trudny
216,Złoto Majów,Szczyrk,Chata Tajemnic,1-5 osób,70 minut,Przygodowy,doświadczony,10 opinii,Polska: 219. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,8.6,10,9.4,Trudny
217,Da Vinci,Poznań,Key To Be Free,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,48 opinii,Polska: 218. miejsce,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,8.8,9.7,9.2,Trudny
218,"Misja ""Napoleon""",Gostyń,Muzeum Gostyń,2-5 osób,90 minut,Fabularny,śr. zaawansowani,21 opinii,Polska: 220. miejsce,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,9.7,9.7,9.6,Trudny
219,Kopalnia Diamentów,Sopot,Questrooms,2-4 osoby,70 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 221. miejsce,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,9.4,9.7,10,Średni
220,Pokój laleczki Chucky,Kraków,SCARY HOSTEL KRAKÓW,2-5 osób,60 minut,Horror,początkujący,132 opinie,Polska: 222. miejsce,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,8.3,9.7,8.7,Średni
221,Kraina Czarów,Wrocław,LetMeOut,2-5 osób,60 minut,Abstrakcyjny,początkujący,107 opinii,Polska: 223. miejsce,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,8.8,9.2,9.2,Łatwy
222,Frankenstein,Poznań,EXODUS,2-7 osób,60 minut,Przygodowy,śr. zaawansowani,166 opinii,Polska: 224. miejsce,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,8.4,8.9,9.2,Trudny
223,Hannibal,Piła,LOCKED Escape Room Piła,2-4 osoby,60 minut,Horror,śr. zaawansowani,16 opinii,Polska: 225. miejsce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6,10,9.9,Średni
224,Western Dziki Saloon,Poznań,Find a Way,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,21 opinii,Polska: 227. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.2,8.1,9.6,Średni
225,Śmierć w Bractwie,Gdańsk,Questrooms,2-5 osób,60 minut,Fabularny,doświadczony,175 opinii,Polska: 228. miejsce,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,8.4,9.6,8.8,Trudny
226,Browar krasnoludzki,Katowice,Mystery Machinery,2-6 osób,75 minut,Fantasy,doświadczony,15 opinii,Polska: 229. miejsce,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,8.2,9.1,9.3,Trudny
227,W krainie Trolli,Toruń,Dom Kłódek,2-5 osób,60 minut,Przygodowy,początkujący,34 opinie,Polska: 230. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,8.3,9.7,8.8,Średni
228,Prison Escape,Wrocław,Exit19.pl,2-4 osoby,60 minut,Kryminalny,doświadczony,11 opinii,Polska: 231. miejsce,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,8.5,9.5,9.3,Trudny
229,Mroczne Zamczysko - Egzekucja,Toruń,OPEN THE DOOR,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,11 opinii,Polska: 232. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,9.0,9.9,9.3,Trudny
230,Przeklęty Pierścień,Wrocław,Secret Room & Brain Code,1-4 osoby,60 minut,Przygodowy,początkujący,42 opinie,Polska: 234. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,8.3,9.5,9.3,Średni
231,Laboratorium Tesli,Katowice,Mystery Machinery,2-5 osób,60 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 233. miejsce,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,9.0,9.4,9.9,Trudny
232,Tajemnica Strefy 51,Toruń,Bunkier51,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,32 opinie,Polska: 235. miejsce,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,8.6,9.1,9.1,Średni
233,Transport,Łódź,QUITZONE,2-6 osób,120 minut,Przygodowy,śr. zaawansowani,7 opinii,Polska: 236. miejsce,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,9.3,10,9.8,Trudny
234,Muzeum 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,25 opinii,Polska: 237. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,8.6,9.6,9.1,Średni
235,Kolekcjoner,Poznań,Time 4 Secrets,2-5 osób,60 minut,Thriller,śr. zaawansowani,750 opinii,Polska: 238. miejsce,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,8.0,8.7,9.2,Trudny
236,Vinci,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Fabularny,na pierwszy raz,57 opinii,Polska: 239. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,8.8,10,9.6,Średni
237,Klątwa Czarnoksiężnika,Łódź,Drzwi Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,28 opinii,Polska: 241. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,9.0,9.4,9.5,Średni
238,Fantazja,Wrocław,Piwnica Quest,2-5 osób,60 minut,Abstrakcyjny,początkujący,98 opinii,Polska: 240. miejsce,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,8.6,9.7,8.3,Łatwy
239,Indiana 2.0,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Przygodowy,początkujący,28 opinii,Polska: 242. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,8.5,9,8.5,Trudny
240,Zaginiony Oficer,Poznań,The Bunkier Escape Rooms,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,184 opinie,Polska: 244. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,9.0,9.7,9.5,Trudny
241,Sherlock's Room,Katowice,Quest Cage,2-5 osób,60 minut,Kryminalny,początkujący,315 opinii,Polska: 243. miejsce,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,8.6,9.7,9.2,Średni
242,Baker Street,Nowy Sącz,ShareLocked,2-5 osób,60 minut,Kryminalny,początkujący,98 opinii,Polska: 245. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,8.7,9.5,9.5,Średni
